con,upm,v_sel,n_hog,n_ren,n_ent,per,mes_cal,fac_tri,est_d_tri,t_loc_tri,sex,nac_dia,nac_mes,nac_anio,eda,c_res,eda7c,eda12c,clase1,clase2,clase3,pos_ocu,c_ocu11c,rama_est1,c_inac5c,ingocup,ing7c,ing_x_hrs,hrsocup,salario,ur,emp_ppal,seg_soc,niv_ins,anios_esc
40291,1106728,51,1,1,4,125,3,85,723,4,2,26,6,1977,47,1,4,7,1,1,1,1,8,3,0,5160,1,40,30,8364,1,1,2,3,9
40110,1107111,52,1,1,3,125,2,177,715,1,1,99,99,1979,46,1,4,7,1,1,1,1,8,3,0,0,7,0,72,8364,1,2,1,2,6
40228,1105885,51,1,1,2,125,1,222,714,1,1,26,4,1964,60,1,6,10,1,1,1,1,5,2,0,0,7,0,36,8364,1,1,2,3,9
40330,1104636,5,1,1,5,125,2,151,145,1,2,26,12,1977,47,1,4,7,1,1,1,1,6,3,0,0,7,0,45,8364,1,2,1,3,11
40510,1102306,2,1,3,5,125,3,113,144,1,1,99,5,2002,22,1,2,2,1,1,1,1,5,2,0,0,1,0,40,8364,1,2,1,4,12
40142,1106800,55,1,4,2,125,3,180,715,1,2,11,11,2008,16,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,10
40515,1107885,51,1,2,1,125,1,178,713,1,2,21,12,1979,45,1,4,7,1,1,1,3,6,3,0,2150,1,13.88889,36,8364,1,1,2,2,6
40515,1107885,51,1,3,1,125,1,178,713,1,2,11,5,2007,17,1,1,1,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40039,1107979,51,1,1,3,125,3,159,713,1,2,3,7,1990,34,1,3,4,1,1,1,1,6,3,0,6880,1,33.33333,48,8364,1,1,2,4,12
40092,1108019,52,1,1,3,125,1,189,714,1,2,9,7,1983,41,1,4,6,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,12
40178,1106787,55,1,2,2,125,3,172,713,1,2,22,4,1993,31,1,3,4,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40598,1109104,51,1,2,1,125,3,422,715,1,2,99,99,1991,34,1,3,4,1,1,1,1,1,3,0,0,7,0,40,8364,1,2,1,4,17
40098,1103605,5,1,3,5,125,1,176,144,1,1,99,99,1994,31,1,3,4,1,1,1,1,4,3,0,8000,1,77.51938,24,8364,1,1,2,4,12
40206,1108689,53,1,1,2,125,2,191,713,1,1,18,10,2001,23,1,2,2,1,1,1,1,5,2,0,10750,2,50,50,8364,1,2,1,4,12
40050,1108528,55,1,2,3,125,2,200,713,1,2,24,8,1984,40,1,4,6,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,11
40076,1105900,51,1,5,3,125,2,179,714,1,2,4,7,2001,23,1,2,2,1,1,1,1,1,3,0,0,2,0,48,8364,1,2,1,4,12
40323,1105959,52,1,1,4,125,3,203,715,1,1,30,9,1998,26,1,2,3,1,1,1,3,6,3,0,30100,4,100,70,8364,1,1,2,3,9
40517,1107996,53,1,1,1,125,1,304,713,1,1,26,12,1970,54,1,5,8,1,1,1,1,5,2,0,7740,1,40,45,8364,1,1,2,3,9
40246,1106775,53,2,4,4,125,3,263,713,1,1,11,12,1974,50,1,5,8,1,1,1,3,5,2,0,0,1,0,39,8364,1,1,2,3,9
40489,1105838,53,1,1,1,125,1,222,713,1,2,28,4,1969,55,1,5,9,1,1,1,1,8,3,0,5160,1,34.28571,35,8364,1,1,2,4,12
40135,1105741,55,1,3,2,125,1,739,715,1,1,28,10,1983,41,1,4,6,1,1,4,3,11,4,0,0,7,0,0,8364,1,2,3,4,17
40203,1108547,55,1,4,2,125,2,232,713,1,2,99,99,2000,25,1,2,3,1,1,1,1,8,3,0,6450,1,100,15,8364,1,1,2,3,9
40057,1108939,53,1,2,3,125,1,233,713,1,2,7,11,1970,54,1,5,8,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40057,1108939,53,1,1,3,125,1,233,713,1,1,22,12,1960,64,1,6,10,1,1,1,1,8,3,0,10320,2,36.36364,66,8364,1,1,2,2,6
40585,1106477,54,1,2,1,125,3,494,715,1,2,18,7,1956,68,1,6,11,1,1,1,3,6,3,0,0,1,0,98,8364,1,1,2,3,12
40117,1108854,51,1,1,3,125,3,198,715,1,2,27,11,1981,43,1,4,6,1,1,1,3,1,3,0,9000,2,697.67442,3,8364,1,2,2,4,15
40268,1108387,54,1,2,4,125,2,192,713,1,2,2,2,1991,34,1,3,4,1,1,1,1,8,3,0,8600,2,62.5,32,8364,1,1,2,4,12
40331,1107204,55,1,1,4,125,2,196,715,1,1,12,5,1981,43,1,4,6,1,1,1,3,6,3,0,0,7,0,41,8364,1,1,2,4,14
40565,1107570,51,1,3,1,125,1,105,714,1,1,9,10,2004,20,1,2,2,1,1,1,1,6,3,0,0,1,0,20,8364,1,1,2,4,12
40504,1106814,51,1,3,1,125,1,212,713,1,1,99,99,1997,28,1,2,3,1,1,1,1,4,3,0,0,7,0,54,8364,1,2,1,3,9
40327,1106561,53,1,2,4,125,2,252,715,1,1,99,11,1975,49,1,4,7,1,1,1,3,8,3,0,0,2,0,8,8364,1,1,2,4,12
40110,1107111,52,1,4,3,125,2,177,715,1,1,19,7,2003,21,1,2,2,1,1,1,3,8,3,0,12900,2,45.45455,66,8364,1,1,2,3,9
40228,1105885,51,1,2,2,125,1,222,714,1,2,5,1,1965,60,1,6,10,1,1,1,3,6,3,0,0,7,0,35,8364,1,2,2,3,9
40048,1102674,3,1,1,5,125,1,130,144,1,1,19,12,1952,72,1,6,11,2,3,0,0,0,0,3,0,0,0,0,8364,1,0,0,4,12
40328,1104049,3,1,1,5,125,2,176,144,1,1,22,8,1979,45,1,4,7,1,1,1,1,6,2,0,10750,2,46.2963,54,8364,1,2,1,3,9
40583,1106134,52,1,1,1,125,2,187,715,1,1,19,11,1985,39,1,3,5,1,1,1,3,6,3,0,12900,2,71.42857,42,8364,1,1,2,3,9
40332,1107494,51,1,2,4,125,2,120,715,1,1,16,1,1972,53,1,5,8,1,1,1,1,6,3,0,0,1,0,34,8364,1,2,1,4,12
40050,1108528,55,1,1,3,125,2,200,713,1,1,9,12,1983,41,1,4,6,1,1,1,1,7,3,0,0,1,0,50,8364,1,1,2,3,9
40050,1108528,55,1,3,3,125,2,200,713,1,2,3,1,2010,15,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,2,8
40504,1106814,55,1,1,1,125,1,212,713,1,2,10,10,1977,47,1,4,7,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40246,1106775,53,1,6,4,125,3,263,713,1,2,99,99,1972,53,1,5,8,1,1,1,1,5,2,0,9460,2,34.92063,63,8364,1,2,1,3,9
40084,1107156,52,1,2,3,125,2,229,714,1,2,13,9,1988,36,1,3,5,1,1,1,3,6,3,0,12900,2,83.33333,36,8364,1,1,2,4,12
40585,1106477,54,1,4,1,125,3,494,715,1,2,28,11,1957,67,1,6,11,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40173,1106383,53,1,2,2,125,3,225,713,1,2,17,10,1996,28,1,2,3,1,1,1,3,8,3,0,2580,1,20,30,8364,1,1,2,2,6
